mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,verify_typ
4894782965419145,2023-04-26 14:31,学术头条,https://weibo.com/7523186814?refer_flag=1001030103_,【RoboGPT：使用ChatGPT提高人机协作的信任度】在人工智能时代，随着机器人越来越多地参与到人类生活的各个方面，人类机器人协作变得越来越重要。然而，人类操作者对机器人的信任问题仍然是一个重要的问题，主要是由于人类和机器人之间缺乏足够的语义理解和沟通。ChatGPT等大型语言模型（LLMs）的出现，为开发一种互动的、可交流的、强大的人类-机器人协作方法提供了机会。该研究探讨了ChatGPT对人机协作装配任务中信任的影响。研究人员设计了一个名为RoboGPT的机器人控制系统，使用ChatGPT来控制一个7自由度的机械臂，帮助人类操作者取、放工具，而人类操作者可以使用自然语言与机械臂交流，并控制它。实验表明，在机器人中加入ChatGPT可以显著提高人类与机器人合作的信任度，这可以归因于机器人能够更有效地与人类沟通。此外，ChatGPT理解人类语言的细微差别并作出适当反应的能力，有助于建立更自然和直观的人机互动。ChatGPT#机器人##学术头条快讯# 详情🔎  ,微博网页版,,,https://wx2.sinaimg.cn/orj360/008d8wyOly1hdd35q4punj314c0gc4at.jpg https://wx2.sinaimg.cn/orj360/008d8wyOly1hdd35qjavzj314c0qyngk.jpg,https://weibo.com/7523186814/MDLJKmJLz,0,0,0,蓝V认证
4893496118610288,2023-04-23 01:17,股谜令狐猫,https://weibo.com/7826315914?refer_flag=1001030103_,周鸿祎发布三六零人工智能总动员内部信：要全面拥抱人工智能360集团创始人周鸿祎发布主题为“三六零人工智能总动员”的内部信，要求360每一位员工、每个产品和业务都要全面拥抱人工智能，适应人机协作，着手产品重塑。周鸿祎在信中透露，结合GPT能力的智能浏览器、AI生图工具和企业智能营销云很快将面向B端用户开放测试。此外，360集团将推行“揭榜挂帅”制，招募更多员工加入大语言模型的核心研发。据了解，360内部已经有非常成熟的大语言模型研究团队，尤其在多模态算法上处于行业领先地位。面对GPT或将引发失业潮的声音，周鸿祎认为“这是制造焦虑”。他在信中表态，“有好奇心、能和GPT协同办公的360员工不会被GPT淘汰”，并鼓励所有员工拥抱GPT，借助GPT拿到更好的绩效。三六零说公司一季度同比转亏，所以需要转型，要积极拥抱chatGPT；科大讯飞说公司是领先的人工智能企业，一季度亏损扩大，下一步就要困境反转了。个个浓眉大眼，你猜谁说的对 ,微博网页版,,,,https://weibo.com/7826315914/MDegbA7VC,0,0,1,没有认证
4893331798100638,2023-04-22 14:24,喜马拉雅豆芽,https://weibo.com/1894053795?refer_flag=1001030103_,OpenAI 创始人最新演讲：ChatGPT 炸裂新功能，分享怎样教 AI 使用工具 ：OpenAI 的联合创始人，三位核心成员之一的 Greg Brockman 日前在 TED2023 上发表演讲，过程中演示了足以取代上周爆火的 AutoGPT 的新功能，还有 OpenAI 在人机协作方面的思考和进展。 OOpenAI 创始人最新演讲：ChatGPT 炸裂新功能，分享怎样教 AI 使用工具 ​,iPhone客户端,,,,https://weibo.com/1894053795/MD9Z9xZls,0,0,1,黄V认证
4892695203416057,2023-04-20 20:15,财新网,https://weibo.com/1663937380?refer_flag=1001030103_,【专访达利欧：盯紧“煤矿里的金丝雀”】中美竞争正导致两国政策制定者在许多领域将自给自足放在效率之前。达利欧认为，这带来低效的产能建设，从经济角度看代价高昂。由于对抗乃至军事冲突的可能性，企业和投资者正在将业务或投资转移到印度、越南和墨西哥等其他国家。　　当下的全球经济形势亦不乐观。就硅谷银行危机，达利欧曾在3月中旬表示，硅谷银行倒闭是“煤矿里的金丝雀”（意指早期信号。过去，欧美煤矿工人将金丝雀带入矿井，因为它对一氧化碳非常敏感——笔者按），背后的环境演变（dynamic）会在风险投资以及远远超出风投的领域产生连锁反应。　　多家华尔街大行、科技巨头近来均大规模裁员。另一方面则是人工智能技术的火热，ChatGPT持续受到关注。4年前，在北京淅淅沥沥的一场春雨中，达利欧就曾对财新表示，桥水99%的投资决策已是由人机协作支撑的决策规则系统做出。O订阅/会员进入 ,微博网页版,,,https://wx3.sinaimg.cn/orj360/001OBI7Gly1hd6c79fbryj60dc08w75302.jpg,https://weibo.com/1663937380/MCTqoekFH,9,2,8,蓝V认证
4892542103717031,2023-04-20 10:06,Whale帷幄,https://weibo.com/6498190840?refer_flag=1001030103_,如何用 ChatGPT 搞营销？Whale 帷幄推出集 AGI 原生、协同合作与数据导向于一体的强大产品 —— Alivia，让你做 MarketingGPT 时代最靓的崽！4 月 20 日，14:00「Whale 帷幄」春季产品 Demo Day ，「创造 AGI 原生的商业未来」，品牌下一代「人机协作」MarketingGPT——Alivia，即将登场！ ​​​#AIGC# #AGI# #MarketingGPT# #ChatGPT# #Whale# #帷幄# #产品发布会# #demoday# ,微博网页版,,,https://wx1.sinaimg.cn/orj360/0075LKhGly1hd5xsgl7q1j30v91vo1kx.jpg,https://weibo.com/6498190840/MCPrsfAY7,0,0,0,蓝V认证
4892527897088043,2023-04-20 09:10,环信即时通讯云,https://weibo.com/3933801885?refer_flag=1001030103_,【4月20日投融资科技早报】1、半导体光刻胶研发商「徐州博康」完成超6亿元新一轮融资，由中平资本、国开科创领投2、数字化设备及自动化产线提供商「金麦特」完成超2亿元A轮融资，由钧瑞投资（奇瑞系）、海富产业基金、中信建投资本联合领投3、机器视觉低代码组态IDE平台「芯算一体」完成千万元级天使轮融资，由著名天使投资人Peter Li投资4、短视频MCN机构「白兔控股」完成B轮及战略轮融资，B轮由天图资本领投、老股东高榕资本跟投5、线上虚拟活动服务平台「随幻科技」完成数千万元A+轮融资，投资方为联想创投6、少儿智能教育机器人研发商「古德微机器人」完成数百万元天使轮融资，由观复资本独家领投7、生命科学研究领域产品及服务提供商「生工生物」获得20亿元首轮战略融资，由德福资本领投8、微生物工程综合解决方案商「微新生物」完成数千万元天使轮融资，由和达生物医药产业基金领投，雅亿资本、沃永基金跟投9、基因细胞治疗药物研发商「宜明细胞」完成1.5亿元C+轮融资，由国泰君安创新投资和济南产发集团旗下经发基金与科金新动能基金共同领投，方富创投跟投10、平台型医疗器械企业「惠凯医疗」完成数千万元A+轮融资，由北京纳通科技集团独家投资11、钉钉宣布正式接入阿里“通义千问”大模型，全面启动智能化战略12、金山办公正式发布“WPS AI”：国内协同办公赛道首个类ChatGPT应用，将陆续嵌入全线产品13、文心一言在百度内部全面应用在智能工作平台“如流”，开启人机协作新范式14、字节跳动旗下火山引擎发布大模型训练云平台：支持万卡训练，集群性能提升3倍15、谷歌计划6月推出其首款可折叠智能手机Pixel Fold，将在5月10日年度开发者大会Google I/O上公布 ,HUAWEI P30 Pro,,,,https://weibo.com/3933801885/MCP4xtJVh,0,0,1,蓝V认证
4892506347014260,2023-04-20 07:44,宝玉xp,https://weibo.com/1727858283?refer_flag=1001030103_,推荐阅读：《让ChatGPT帮你下Prompt》by 賴以威—————昨天聊到OpenAI的报告中，指出「数学家」将大幅受到chatGPT影响。但影响并非总是负面的「被取代」，也可能是如同从骑马变成开车那样，透过工具加速发展。对此，陶哲轩做了最好的示范。▩谁是陶哲轩陶哲轩(Terence Tao)被誉为是当今数学界的摇滚巨星，24岁成为UCLA教授，31岁获得数学界最高荣誉菲尔茨奖。他是美国总统科学技术顾问委员会的成员，日前才在白宫开会，负责提出AI相关的政策建议。不同于刻板印象里的数学家总是孤独、与世隔绝，陶哲轩大量与人合作研究，乐于在网路上发表想法。前几天，他发表了一篇文章，内容如下：我开始觉得AI工具是Cunningham's law的一种变体：「在网上得到正确答案的最好方法不是提问，而是张贴错误的答案。」到目前为止已经有好几次，我问GPT一些问题时，我不满意它输出的结果。但是，这些结果却能诱发我找出更接近正确的答案。最终，我只从GPT产生的文本中借用一两个句子。然而，如果没有GPT产生的文本作为提示(prompt)，我想我的灵感就不会被启发，也无从产生我的答案。」▩人脑与电脑互下prompt在这个例子中，陶哲轩认为不仅是他对GPT下prompt，GPT产生的文字，也反过来可以看成是AI对人类下的prompt。然后，陶哲轩会受到这个错误但有趣的提示启发，进而想出正确答案。符合Cunningham's law，错的答案引出对的答案。「尽信书不如无书」如同我们不能完全相信网路上的论点，自然也不该对GPT的内容全盘接受。我们不能将所有的思考责任转移到GPT上，应该将他的回复视为一个建议，一个灵感的来源。这也是所谓的「批判性思考」。当我们抱持着这样的心态，就能更加发挥GPT的价值。因为它的回答是基于大量资料，加上一定随机性的回复。因此可以跳脱我们独自思考时的框架，提供不一定正确，但有一定逻辑性的答案。这跟在「发散模式」时寻求的灵光一现，有某种程度的相似。《大脑喜欢这样学》提过，大脑有专注模式与发散模式。前者是聚精会神，专心投入的状态，后者则常发生在散步、放松时。专注模式可以提升解决问题的能力，但也见树不见林。发散模式则让思绪自然漫游，容易产生灵感。或许你有过这样的经验，读书时算数学卡住想不出来。离开房间走一走，喝口水回来，忽然就想到解法。发散模式大概就是这种感觉，能让我们跳脱框架，更灵活的思考。但就算是在发散模式，等待灵感降临也有点像玩彩票那样，有点碰运气的成分在内。▩让GPT成为你的常驻「发散模式」可在陶哲轩手中，GPT就是他的常驻发散模式。早在一个月前，陶哲轩就发表了数则他使用GPT的心得：问它数学题目，请它证明，给提示请它找出相关文献。GPT不一定都能做到完全正确，可它的回应，都能激发陶哲轩更多的灵感。它就像是一位正在散步的博学友人，边走边随意打字，带点不负责任的心态，想到什么就回复你什么。AI这项新工具到底该怎么使用，有各式各样的说法。陶哲轩的用法让我们看到不仅是要问个好问题，本身还要具备足够的判断力，以及举一反三的联想力。在人脑的引导下，人类与AI互下提示，宛如一场双人舞一样，或许是一种非常理想的未来人机协作模式。 ,Mac客户端,,,https://wx3.sinaimg.cn/orj360/66fd066bgy1hd5to0y2a5j21kw0w0nco.jpg https://wx1.sinaimg.cn/thumb150/66fd066bgy1hd5tn1zxkwj20lk2is7wh.jpg https://wx2.sinaimg.cn/orj360/66fd066bgy1hd5tozqayej20w20wye4a.jpg,https://weibo.com/1727858283/MCOvMtqJe,659,22,473,红V认证
4892242257121002,2023-04-19 14:15,占星师Dorothy-职场占星,https://weibo.com/7214442903?refer_flag=1001030103_,1、钉钉宣布正式接入阿里“通义千问”大模型，全面启动智能化战略2、金山办公正式发布“WPS AI”：国内协同办公赛道首个类ChatGPT应用，将陆续嵌入全线产品3、文心一言在百度内部全面应用在智能工作平台“如流”，开启人机协作新范式4、字节跳动旗下火山引擎发布大模型训练云平台：支持万卡训练，集群性能提升3倍5、打通AI训练平台和云端能力，腾讯云智能车载语音助手实现小时级更新6、印象笔记宣布印象AI正式开放使用，现已落地赋能旗下全线产品7、雷军：小米2022年研发投入160亿元同比增长21%，今年研发投入预计超200亿8、数字货运平台满帮推“好运计划”，7项举措助力中小微企业“拼经济”9、微软宣布中国区Microsoft Teams和Office 365升级，由世纪互联运营10、胡润研究院发布2023全球独角兽榜：前十名中国占五席，字节跳动蝉联第一 ,,,,,https://weibo.com/7214442903/MCHDPtSuS,0,0,0,黄V认证
4892176280457625,2023-04-19 09:53,Whale帷幄,https://weibo.com/6498190840?refer_flag=1001030103_,4 月 20 日，「Whale 帷幄」春季产品 Demo Day ，「人机协作」时代，我们共同开启!我们将讲述在 AGI-lization 的营销时代，以下一代「人机协作」为核心的 Alivia 产品，是如何凭借「MarketingGPT」抢先拿到 AGI 竞技入场券！#AIGC##AGI##MarketingGPT##ChatGPT##Whale##帷幄##产品发布会##demoday# LWhale帷幄的微博视频 ,微博视频号,,,,https://weibo.com/6498190840/MCFVq1V33,1,0,0,蓝V认证
4892167078676799,2023-04-19 09:16,爱股票APP,https://weibo.com/2072724293?refer_flag=1001030103_,【一觉醒来AI圈发生了什么】1、亚马逊云科技宣布，实时AI编程助手Amazon CodeWhisperer正式可用，同时推出的还有供所有开发人员免费使用的个人版。2、微软准备推出人工智能芯片，内部代号“雅典娜”，为大型语言模型提供动力。据悉，微软在2019年就开始开发这种内部代号为“雅典娜”(Athena)的芯片。微软已将芯片提供给一小部分微软与OpenAI员工，他们正测试这项技术。微软希望这种芯片比目前从其他供应商处采购的芯片性能更好。3、意大利数据保护局称，如果OpenAI采取了“有效的措施”，我们将于4月30日重新激活ChatGPT的使用。此前，意大利数据保护局暂时限制了ChatGPT对个人数据的处理，并对其涉嫌违反隐私规则展开调查。4、Midjourney竞争对手Stability AI的官宣，正在研发的Stable Diffusion XL开始面向公众测试，目前可以在Clipdrop平台免费试用。5、2023全球元宇宙大会18日在北京举行。大会上，GPT产业联盟正式成立。GPT产业联盟由中国移动通信联合会、中国电信、中国移动、中国联通、中国广电等单位共同发起成立。6、字节旗下火山引擎发布大模型训练云平台。火山引擎总裁谭待透露，“国内大模型领域的数十家企业，超过七成已经在火山引擎云上”。7、百度内部智能工作平台“如流”应用文心一言 开启人机协作新范式。百度此次发布的智能工作工具，涵盖了文本和图片生成、代码推荐两大场景，帮助员工在日常工作中的思路构建、协作沟通、方案策划、代码编写等方面大幅提升效率。8、金山办公正式发布具备大语言模型能力的生成式人工智能应用，暂定代号“WPS AI”，这也是国内协同办公赛道首个类ChatGPT式应用。“WPS AI”的第一站搭载在金山办公新一代在线内容协作编辑工具——轻文档(airPage)上，未来将以用户体验为优先级，逐步放开公测，嵌入金山办公全线产品。9、斑马智行接入通义千问大模型，智己汽车成为首个上车品牌。10、TrendForce：预估2023年AI服务器出货量年增15.4%，2023-2027年复合成长率约12.2%。11、大模型发布会密集来袭：科大讯飞AI学习机发布会(5月6日)、谷歌I/O 2023全球开发者大会(5月10日)、第七届世界智能大会(5月18-21日)、微软BuiLD 2023开发者大会(5月23-25日) 、2023世界人工智能大会(7月6日)。 ,微博网页版,,,,https://weibo.com/2072724293/MCFGzApen,2,1,12,蓝V认证
