mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,verify_typ,sentiment,neg_prob,neu_prob,pos_prob
4897804218271940,2023-05-04 22:36,千里行风,https://weibo.com/1745815204?refer_flag=1001030103_,看到一篇大神团队的JASA新作，学了之后打算自己魔改一下用用，忧伤地发现code是matlab的，懒惰如我，当然是选择让New Bing翻译了——然而翻出来的R code跑不通，emmm还不死心，于是让matconv替我翻，结果人家直接报错了。。。。(ˉ▽￣～) 切~~算了，老子自己照着算法直接复现吧，从前又不是没干过——“是时候表演真正的技术了！” ,微博网页版,,,,https://weibo.com/1745815204/MF2kJyHUo,1,4,3,没有认证,negative,0.704423189163208,0.19206340610980988,0.10351336747407913
4897793409811074,2023-05-04 21:53,宝玉xp,https://weibo.com/1727858283?refer_flag=1001030103_,New bing也要像ChatGPT一样支持插件市场了Announcing the next wave of AI innovation with Microsoft Bing and Edge转：1、即将在Windows任务栏中加入Bing功能；2、全面开放使用，无需等待；3、从仅文本搜索和聊天转变为支持图像/视频答案（即将推出）并支持多模式操作；4、保存历史聊天记录、支持持续聊天；5、开放插件平台，第三方可以在Bing上创建应用，帮助用户完成查询并执行任务。 ,iPhone X,,,https://wx1.sinaimg.cn/orj360/66fd066bgy1hdmow9bd4tj20yw0g876x.jpg https://wx1.sinaimg.cn/orj360/66fd066bgy1hdmow8d3yuj20v91cw14k.jpg,https://weibo.com/1727858283/MF23iFaj8,48,19,68,红V认证,neutral,0.07492051273584366,0.5744567513465881,0.3506227731704712
4897792072357180,2023-05-04 21:48,技术元素technium,https://weibo.com/5514706715?refer_flag=1001030103_,谷歌差点遭遇一场公关危机，Bert一作、已跳槽OpenAI的前员工Jacob Devlin曝出，Bard竟是用ChatGPT的数据训练的。谷歌大型语言模型LaMDA背后的两位研究人员Daniel De Freitas和Noam Shazeer离开了公司，他们对公司迟迟不发布类似ChatGPT的聊天机器人感到沮丧。「OpenAI对LLM有强大的执念，这是Google这类公司完全比不上的。。。而随着上亿用户不断给OpenAI提供新的数据，谷歌和OpenAI的差距只会越来越大。。。“谷歌它想发力LLM，高层允许吗?谷歌很多掌握话语权的大佬是搜索部门出来的。现在搜索这个东西是谷歌的大金蛋，动这个蛋糕要触及多少人的利益??那帮10年前招进来的SDE怎么拿高薪摸鱼?阿三怎么专心玩办公室政治?就算真有一个勇士愿意出来牵头改革，最后无非是把市占率从90%提到91%甚至不提升，然后所有人都得罪了，最终背锅走人，聪明人不干这事，虽然他们都知道必须改革。这就是大企业病。从现在bard的思路大家都能看出来，谷歌并不想动搜索的蛋糕。不同干new bing这种每个解答都给出对应链接佐证的模式，他们仅仅是在bard的回复下面加了一条“Google it”。OLLM之战，谷歌输了！越来越多顶尖研究员跳槽OpenAI ,HUAWEI Mate 20,,,,https://weibo.com/5514706715/MF2199Td2,0,0,0,没有认证,negative,0.6452410817146301,0.28403425216674805,0.07072471082210541
4897781917157072,2023-05-04 21:07,随手换个昵称,https://weibo.com/7777003188?refer_flag=1001030103_,不想魔法上new bing，可不变魔术就不能用，啥时候能自信的开放互联网，可开放意味着国内那些吃着闭关红利的互联网企业就可能要关门了。 ​,微博网页版,,,,https://weibo.com/7777003188/MF1KLu1SE,0,0,0,没有认证,negative,0.7783322334289551,0.16123731434345245,0.06043045595288277
4897767115981724,2023-05-04 20:08,Redemption_111,https://weibo.com/6689775645?refer_flag=1001030103_,我 被大佬要求对答案be like：我可能错很多：我真的会错很多大佬：这个方法的出处在哪我：……（New Bing）大佬：你这里少考虑了一种情况我：……（ChatGPT少考虑了…）我瑟瑟发抖不敢说话 ​,iPhone客户端,,,,https://weibo.com/6689775645/MF1mTp67q,0,7,0,没有认证,negative,0.6101803779602051,0.2867773473262787,0.10304220765829086
4897752222275093,2023-05-04 19:09,AI_匿名交流墙,https://weibo.com/7735846810?refer_flag=1001030103_,v486【跳过】我：你好new bing：我警告你不要揣测我的感情😡😡😡，再见！ ​,微博网页版,,,https://wx4.sinaimg.cn/orj360/008rwP8Kly1hdmk5tng26j30g40ztgqg.jpg,https://weibo.com/7735846810/MF0YS9xR3,0,0,0,没有认证,negative,0.6246128678321838,0.26161104440689087,0.11377613991498947
4897722635650997,2023-05-04 17:12,理白君,https://weibo.com/1946021112?refer_flag=1001030103_,刚才问了一下Bing 中国从2015年到2023年育龄女性人口数量，Bing 给了我这么一张表。从这张表来看，出生率雪崩是几乎难以挽回的事情，因为育龄女性人口数量都崩了。而且其实低于21岁生育极少，高于35岁生育的也不多（多为2胎以上）。所以看后面生育旺盛期育龄妇女数据更为触目惊心。当然这段数据是New Bing查询生成的，我不确保其可靠性。根据我从网上搜索到的信息，中国2015年到2023年育龄女性人口数量如下问所说：“2022年我国人口总量略有下降主要是由于出生人口减少。一是因为育龄妇女持续减少。2022年，我国15—49岁育龄妇女人数比2021年减少400多万人，其中21—35岁生育旺盛期育龄妇女减少近500万人。二是因为生育水平继续下降。受生育观念变化、婚育推迟等多方面因素影响，2022年育龄妇女生育水平继续下降。” ,微博网页版,,,,https://weibo.com/1946021112/MF0d9nI57,69,69,1030,红V认证,neutral,0.284299373626709,0.5285475850105286,0.18715301156044006
4897717723071160,2023-05-04 16:52,Microsoft信仰中心,https://weibo.com/3139784387?refer_flag=1001030103_,New Bing 已经向所有用户开放（中国用户需要使用特殊手段才可以使用）。 ​,微博网页版,,,https://wx1.sinaimg.cn/orj360/bb254ec3gy1hdmg7z8uqvj20n00fcdil.jpg,https://weibo.com/3139784387/MF05ecSWQ,48,45,112,黄V认证,neutral,0.080223448574543,0.6507670283317566,0.269009530544281
4897695137797730,2023-05-04 15:22,TsukiForgets,https://weibo.com/5999923588?refer_flag=1001030103_,会用new bing的人有福咯 ​,微博轻享版,,,https://wx2.sinaimg.cn/orj360/006y34d6ly1hdmdmnre4uj30u01t0tgw.jpg,https://weibo.com/5999923588/MEZuNwIxQ,0,0,3,没有认证,positive,0.107442207634449,0.2502147853374481,0.6423430442810059
4897693169878787,2023-05-04 15:15,多重耐药君,https://weibo.com/1671026871?refer_flag=1001030103_,微软开放了 New Bing 的 Chat 功能，需要 Microsoft 账户，原本需要申请加入候补名单才能使用。 ​,微博网页版,,,https://wx2.sinaimg.cn/orj360/6399d8b7ly1hdmdcr4mw0j22xu1n4b0p.jpg,https://weibo.com/1671026871/MEZrCFrVh,0,0,0,黄V认证,neutral,0.104575514793396,0.6628040671348572,0.23262041807174683
4897687763681647,2023-05-04 14:53,7_Sins,https://weibo.com/5999023527?refer_flag=1001030103_,薛定谔的New Bing图标，上午有，下午又没了 ​,iQOO 11 未来电竞旗舰,,,https://wx4.sinaimg.cn/orj360/006xZi3Zgy1hdmcrpv0ygj30to0qsahs.jpg https://wx3.sinaimg.cn/orj360/006xZi3Zgy1hdmcrq7wi6j30u00qwdnm.jpg,https://weibo.com/5999023527/MEZiUfrLp,0,0,0,没有认证,neutral,0.26298654079437256,0.6163201332092285,0.12069327384233475
4897675306339206,2023-05-04 14:04,7_Sins,https://weibo.com/5999023527?refer_flag=1001030103_,薛定谔的New Bing ​,iQOO 11 未来电竞旗舰,,,,https://weibo.com/5999023527/MEYYOqB7g,0,0,0,没有认证,neutral,0.1477394551038742,0.6743219494819641,0.17793865501880646
