mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,verify_typ
4878782383002029,2023-03-13 10:50:30,思博网,https://weibo.com/1770728003?refer_flag=1001030103_,"['代理人', '考试', '主题', 'ChatGPT', '要来', '抢饭碗', '专利', '代理', '师会', '失业', '直播', '带', '走进', '专利', '课堂', '专利', '代理', '实操', '撰写', '大赛', '带', '认识', '同样', '技术', '素材', '写成', '质量', '高质量', '差距', '到底', 'AI', '写', '专利', '人', '差别', '代理人', '何去何从', '撰写', '质量', '高低', '评判', '标准', '专利申请', '特征', 'Chatgpt', '写作', '样式', '新', '时代', '专利', '代理', '职业', '发展', '路径', '直播', '时间', '主讲', '报名', '占']",专利代理人考试超话,,,https://wx1.sinaimg.cn/orj360/698b2a43ly1hby1j1pji0j20u01hcqaq.jpg,https://weibo.com/1770728003/Mx3umcAXP,0,0,2,蓝V认证
4878589515795645,2023-03-12 22:04:30,夏日之阳新闻传播考研,https://weibo.com/3321496530?refer_flag=1001030103_,"['论文', '带读', '爆火', 'ChatGPT', '考', '论文', '带读', '持续', '关注', '学术前沿', '超', '硬核', '逻辑', '框架', '梳理', '精选', '节点', '帮助', '大家', '更好', '理解', '相关', '知识', '要点', '把握', '考试', '重点', '时间', '最', '简洁', '方式', '收获', '最', '硬核', '知识', '想要', '考试', '答出', '更加', '满意', '试卷', '想要', '考试', '表达', '更', '独特', '得道', '想法', '就要', '持续', '关注', '论文', '带读', '成功', '不再', '梦', '大', '热点', 'ChatGPT', '最新', '论文', '教授', 'ChatGPT', '引发', '传播', '革命', '媒介', '生态', '构建', '学习', '知识点', '结构', '论文', '带读', 'ChatGPT', '引发', '传播', '革命', '媒介', '生态', '构建', '半夏', '分析', 'ChatGPT', 'ChatGPT', '生成', '预', '训练', '机器人', 'ChatGPT', '人工智能', '技术', '驱动', '处理', '工具', '用于', '问答', '文本', '摘要', '生成', '代码生成', '对话', 'AIChatGPT', '应用', '主线', '分别', '应用', '实现', '特定', '功能', '生成', '内容', '功能', 'OfficeAdobe', '软件', '结合', '服务型', '应用', '结合', '发挥', '场景', '优势', '结合', '垂直', '领域', 'know', 'how', '实现', '垂直', '领域', '赋能', '应用', '实现', '特定', '功能', '实现', '生成', '文本', '对话', '代码', '功能', '深度', '嵌入', '生产力', '工具', '实现', '生产', '效率', '进一步', '提升', '生成', '内容', '功能', 'OfficeAdobe', '软件', '结合', '实现', 'WordPowerPoint', 'Office', '功能', '自动', '完成', '制作', 'PPT', '需要', '输入', '大致', '框架', '一键', '制成', '完整', 'PPT', '服务型', '应用', '结合', '发挥', '场景', '优势', '金融', '零售', '行业', '服务', '结合', '真实', '场景', '运用', 'ChatGPT', '结合', '垂直', '领域', 'know', 'how', '实现', '垂直', '领域', '赋能', '深耕', 'ChatGPT', '所处', '人工智能', '行业', '底层', '基础', '技术', '加强', '算力', '算法', '数据', '训练', '模型', '训练', '赋能', '特点', '生成', '生成', '资料', '关系', '结构性', '整合', '契合', '人', '关系', '场景', '需求', '预', '训练', '深度', '学习', '自主', '学习', '匹配', '协同', '机器人', 'RLHF', '人类', '反馈', '强化', '学习', '人', '意识', '人工智能', '模型', 'ChatGPT', '智能', '互联', '技术', '突破点', '在于', '无界', '方式', '全面', '融入', '人类', '实践', '领域', '实现', '开放性', '成为', '通用', '智能', '深度', '学习', '方式', '不断', '文本', '生成', '注入', '关系', '要素', '提升', '文本', '表达', '结构', '价值', '从根本上', 'ChatGPT', '本质', '实现', '人', '世界', '全', '要素', '价值', '重构', '实现', '人', '语义', '世界', '价值', '重构', '更为', '关键', '突破', '应该', '指向', '语义', '世界', '人类', '实践', '领域', '全', '要素', '价值', '重构', '恰恰', '应和', '宇宙', '数字', '时代', '社会', '要素', '重构', '关系', '规则', '重构', '现实', '场景', '重构', '要求', '直接', '影响', '无界', '方式', '融入', '人类', '实践', '领域', '实现', '开放性', '重塑', '人', '货', '关系', '提升', '文本', '表达', '结构', '价值', '重构', '数字', '时代', '社会', '要素', '关系', '规则', '现实', '场景', 'ChatGPT', '影响', '人', '赋能', '赋权', '优势', '填平', '信息', '沟', '实现', '信息', '知识', '可供', '性', '打破', '经营', '内容', '霸权', '更', '精英', '自主', '完成', '信息', '采集', '加工', '把关', '传播', '人们', '指', '技术', '精英', '浏览器', '网站', '技术', '突破', '时代', '传播', '局限于', '专业', '霸权', '令', '更', '社会', '精英', '网站', '不经', '传统', '媒介', '采集', '加工', '制作', '把关', '传播', '分享', '社会', '传播', '权利', '泛', '传播', '突破', '话语', '表达', '精英', '霸权', '社交', '平台', '视频', '技术', '普及', '突破', '话语', '表达', '精英', '霸权', '极大', '降低', '内容', '生产', '社会', '表达', '门槛', '使', '人人', '皆', '成为', '传播者', '传播', '时代', '落地', '成为', '现实', '打破', '资源整合', '使用', '能力差异', '局限', '实现', '理论', '社会', '平均', 'ChatGPT', '突破', '资源', '使用', '整合', '能力', '局限', '差异', '使', '人', '至少', '理论', '社会', '平均线', '语义', '表达', '资源', '动员', '能力', '进行', '社会性', '内容', '生产', '传播', '对话', '劣势', '能力', '沟', '客观存在', '只能', '相对', '缩小', 'ChatGPT', '能够', '帮助', '普通人', '成功', '突破', '专业', '能力', '方面', '局限', '专业', '知识', '运用', '不同', '语言', '翻译', '程序代码', '编制', '能够', '使', '大量', '专业', '门外汉', '专业', '专门', '问题', '资源', '使用', '文本', '表达', '达到', '社会', '平均线', '令', '大众', '能够', '跨越', '能力', '沟', '障碍', '有效', '意愿', '想法', '激活', '调动', '海量', '资源', '形成', '强大', '丰富', '社会', '表达', '价值', '创造', '能力', '社会', '数字化', '加持', '重大', '启蒙', '赋能', '更为', '广泛', '社会', '成员', '参与', '社会', '决策', '专业', '运作', '全新', '局面', '无疑', '巨大', '社会', '活力', '重启', '传播', '生态', '媒体', '角色', '分布式', '社会', '社会', '成员', '传播', '领域', '权利', '进一步', '下沉', '传播', '核心', '逻辑', '算法', '化', '平等性', '实时性', '参与', '直接', '性', '算法', '表现', '区块', '链', '规则', '平等性', '实时性', '参与', '直接', '性', '实际上', '更', '高', '维度', '社会', '重构', '价值', '基础', '算法', '信任', '规则', '进一步', '发展', '透过', '社会', '深度', '媒介', '化', '演进', '成为', '构造', '数字', '时代', '社会', '传媒业', '发展', '技术', '密集型', '资本密集型', '产业', '新', '寡头', '依靠', '技术', '释放', '巨大', '传播', '生产力', '媒介', '发挥', '再', '组织', '能力', '激发', '形成', '传播', '领域', '涌现', '现象', '转向', 'ToB', '角色', '传播', '提供', '价值', '逻辑', '专业', '规则', '平衡', '话语', '媒介', '四两拨千斤', '价值', '引领者', '力', '完成', '社会', '价值', '传播', '更', '大程度', '应该', '成为', '社会', '生产', '侧', '生产者', '指挥', '交响乐团', '指挥', '尤其', '发展', '传播', '领域', '主力', '生产', '大军', 'UGCOGCPGC', '迅速', '崛起', 'AIGC', '媒介', '角色扮演', '功能', '担当', '实现', '值得', '思考', '重要', '问题', '分布式', '社会', '本质', '组织', '社会', '媒介', '应', '转型', '舆论', '具有', '再', '组织', '能力', '四两拨千斤', '基膜', '去', '激发', '形成', '传播', '领域', '涌现', '现象', '充分利用', '耗散', '结构', '协同学', '突变论', '混沌', '理论', '超', '循环', '理论', '分型', '理论', '原理', '进行', '新', '社会', '传播', '再', '组织', '学会', '见', '考研', '考研', '复试', '考研', '国家', '线', '公布']",微博网页版,,,https://wx2.sinaimg.cn/orj360/c5fa03d2ly1hbxfdmhqcmj20m80hhwfq.jpg,https://weibo.com/3321496530/MwYthojI9,18,2,29,红V认证
4878588153169176,2023-03-12 21:58:30,为儿女子孙行善积德,https://weibo.com/1720625495?refer_flag=1001030103_,"['命运', '中国', '何去何从', '其实', '懂得', '教育', '初心', '根本', '目的', '宗旨', '懂', '做', '学', '普通家庭', '孩子', '提供', '去', '工作', '机会', '看', '学术', '文献', '很', '帮助', '问', 'chatgpt', 'bing', '得到', '答案', '都', '不同', '当然', '人', '毕业', '都', '不会', '英语专业', '为生', '学习', '考试', '工作', '生活', '运用', '考试', '筛选', '不得不', '牺牲', '学生', '建议', '学习', '语文', '数学', '考试', '分数', '中考', '成为', '选修课', '物理化学', '分数', '大学', '开设', '外语', '专业', '面向', '学子', '开放', '报考', '大学', '开设', '外语', '课程', '面向', '专业', '大学生', '随时', '开放', '不必', '强制', '学生', '学习', '委员', '建议', '取消', '主科', '地位']",vivo 全新水滴屏手机,,,,https://weibo.com/1720625495/MwYr5dirK,0,0,1,没有认证
4878558092857859,2023-03-12 19:59:30,YSAINTE,https://weibo.com/6288057912?refer_flag=1001030103_,"['算是', '看', '上学', '都', '自学', 'sh', '考试', '自学', '交', '论文', '自学', 'ChatGPT', '帮', '收集', '数据', '好', '闯', '死期', '居然', '再', '交', '论文', '闯', '死', '洗衣房', '颓废', '大']",魔女?的iPhone 11 Pro,,,https://wx1.sinaimg.cn/orj360/006Ry36Ugy1hbxbqe7hadj30u0140qc2.jpg,https://weibo.com/6288057912/MwXEBbZsv,0,10,5,没有认证
4878553297981969,2023-03-12 19:40:30,叫我饭桶好了,https://weibo.com/3304533305?refer_flag=1001030103_,"['chatgpt', '不能', '帮', '考试']",荣耀V20 4800万3D相机,,,,https://weibo.com/3304533305/MwXwRxutr,0,0,0,没有认证
4878541516179758,2023-03-12 18:53:30,bamboo_life,https://weibo.com/1741817620?refer_flag=1001030103_,"['挺', '好', 'chatGPT', '人工智能', '实现', '工具', '帮助', '一本正经', '写诗', '小说', '剧本', '帮助', '学生', '做作业', '写', '论文', '写出', '看上去', '还', '不错', '商业', '计划', '书写', '捣', '浆糊', '软文', '指示', '直接', '生产', '高质量', '代码', '用户界面', '设计', '医生', '律师资格', '考试', '翻译', '字', '书籍', '文字', '据说', '翻译', '质量', '地方', '已经', '超过', '人工', '营收', '数据', '没有', '重要', '能够', '显示', '出', '强劲', '市场需求', '增长', '投行', '愿意', '画', '大饼', '出营', '收', '突破', '路线图', '大', '概率', '足够', '热', '钱', '愿意', '买单', '支持', '营收', '至少', '市值', 'OpenAI', '成功', '上市', '会', '促进', '热', '钱', '涌入', '短期内', '制造', '更', 'AI', '领域', '需求', '部分', '公司', '营收', '增速', '极快', '推高', '估值', '行业', '造成', '水涨船高', '效应', '时间段', '内会', '产生', '所有人', '都', '发财', '再', '不', '加入', '错觉', 'chatGPT', '随想', 'O', 'chatGPT', '随想']",nova 10 主角影像,,,,https://weibo.com/1741817620/MwXdRpVDw,0,0,0,没有认证
4878515260359768,2023-03-12 17:08:30,卡哥价投人生,https://weibo.com/7519636919?refer_flag=1001030103_,"['人', '都', '已经', '听到', 'chatGPT', '铺天盖地', '消息', '还', '不', '清楚', 'chatGPT', '人工智能', '实现', '工具', '帮助', '一本正经', '写诗', '小说', '剧本', '帮助', '学生', '做作业', '写', '论文', '写出', '看上去', '还', '不错', '商业', '计划', '书写', '捣', '浆糊', '软文', '指示', '直接', '生产', '高质量', '代码', '用户界面', '设计', '医生', '律师资格', '考试', '翻译', '字', '书籍', '文字', '据说', '翻译', '质量', '地方', '已经', '超过', '人工', '衍生', '应用', '包括', '上传', 'pdf', '文档', '自动', '读取', '信息', '帮', '提供', '总结', '迅速', '回答', '问题']",,,,,https://weibo.com/7519636919/MwWxw1vAI,2,0,3,没有认证
4878488894968199,2023-03-12 15:24:30,万能的小月,https://weibo.com/3608845275?refer_flag=1001030103_,"['ChatGPT', '人工智能', '帮助', '躺', '大家', '好', '大家', '推荐', '机器人', '辅助', '生活', '更加', '便利', '高效', '看到', '大家', 'ChatGPT', '比较', '感兴趣', '顺便', '了解', '机器人', '辅助', '加', 'v', '完整版', '地址', 'ibib331', '解決', '问题', 'Chatgpt2', '生成', '真人', '演讲', 'Murf3', '时间', '管理', '大师', 'Timelt4', '解決', '法律', '问题', 'Do', 'Not', 'Pay5', '创作', '生术', '作品', 'Dall', '自动', '发布', '社交', '媒体', 'Repurpose', '机器人', 'Chatbot', 'Live8', '专为', '写', '文家', '生', 'Jasper', 'Al9', '生成', '真人', '视频', 'Synthesia10', '帮', '写', '论文', 'Jenni', 'Al11', '写', '故事', 'Tome12', '会议记录', 'FireFlies', '人工智能', '机器人', 'chatgpt', 'sat', '考试', 'chatgpt']",vivo Z5x性能实力派,,,https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3swb80dj20p00xc43y.jpg https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3swn4wvj20p00xctdz.jpg https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3swyhfvj20p00xcaeh.jpg https://wx3.sinaimg.cn/orj360/d71a9bdbly1hbx3sxk67uj20p00xcte8.jpg https://wx3.sinaimg.cn/orj360/d71a9bdbly1hbx3sy2pwej20p00xctdw.jpg https://wx3.sinaimg.cn/orj360/d71a9bdbly1hbx3syco5ej20p00xcjvq.jpg https://wx2.sinaimg.cn/orj360/d71a9bdbly1hbx3syo4b9j20p00xctdi.jpg https://wx2.sinaimg.cn/orj360/d71a9bdbly1hbx3syz7goj20p00xcwk1.jpg https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3szvulcj20p00xcwlb.jpg,https://weibo.com/3608845275/MwVQZkQsf,0,0,0,没有认证
4878398801316170,2023-03-12 09:26:30,超级爱吃草莓的我,https://weibo.com/3308515550?refer_flag=1001030103_,"['考试', '看', '电视剧', '慌靠', '伟大', 'chatgpt', '淑写', '台词', '功力', '强', '台词']",iPhone客户端,,,,https://weibo.com/3308515550/MwTvG5woy,0,0,0,没有认证
4878398055254318,2023-03-12 09:23:30,探索时分,https://weibo.com/1738753940?refer_flag=1001030103_,"['题', '只', '题', 'ChatGPT', '挑战', '印度', '最', '难', '考试', '不及格', 'ChatGPT', '挑战', '印度', '最', '难', '考试', '失败', '可能', '数据库', '资料', '只', '更新', '机器人', 'ChatGPT', '面世', '美国', '考场', '印度', '踢', '铁板', '挑战', '号称', '印度', '最', '难', '考试', '公务员', '资格', '考', '不及格', '印度', '杂志', '分析', '数据库', '未', '充分', '更新', '导致', 'ChatGPT', '考试', '失利', '主因', '中央社', '报导', 'ChatGPT', '惊人', '智力', '大', '数据', '运用', '能力', '美国明尼苏达大学', '法学院', '宾州', '大学', '华顿', '商学院', '考试', '取得', 'Google', '编码', '工程师', '资格', '还', '美国', '执业', '医师资格', '考试', '印度', '科技', '趋势', '分析', '杂志', 'Analytics', 'India', 'MagazineAIM', '印度', '公务员', '考试', 'Indian', 'Civil', 'Services', 'Examination2022', '阶', '试题', '考验', 'ChatGPT', 'ChatGPT', '题', '只', '答对', '题', '题目', '还', '答错', '倒扣', '分数', '最终', '未能', '达到', '及格', '标准', '报导', '考题', '涵盖', '印度', '地理', '经济', '历史', '生态', '综合', '科学', '事', 'ChatGPT', '考', '不及格', '原因', '可能', '数据库', '资料', '只', '更新', '印度', '公务员', '考试', '联邦', '公务员', '委员会', 'UPSC', '办理', '人', '报考', '录取率', '印度', '公务员', '享有', '很高', '社会', '地位', '外加', '就业', '居住', '医疗', '保障', '吸引', '数以百万计', '报考', '印度', '软', '包', '服务', '巨擘', '科技', '公司', 'Infosys', '创办人', '雅纳', '莫西', 'NR', 'Narayana', 'Murthy2', '科技', '论坛', '说', 'ChatGPT', '抢走', '人类', '饭碗', '莫西', '说', '程式码', '横空出世', '程式设计', '担心', '失业', '并未', '发生', '人类', '大脑', '最', '具', '弹性', '工具', '人类', '创意', '搭配', '科技', '解决', '更多', '大', '问题']",OnePlus 8 Pro,,,https://wx2.sinaimg.cn/orj360/67a34794gy1hbwte1ghk1j21400qz7bv.jpg,https://weibo.com/1738753940/MwTutm2T4,0,0,0,没有认证
