mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,verify_typ,sentiment,neg_prob,neu_prob,pos_prob
4878782383002029,2023-03-13 10:50:30,思博网,https://weibo.com/1770728003?refer_flag=1001030103_,傋ɡ代理人考试 主题：ChatGPT要来抢饭碗，未来专利代理师会失业吗？通过本次直播，我们将带你走进韩龙专利课堂-第一届专利代理实操撰写大赛，带你认识，同样的技术素材，写成非正常、中等质量、高质量之间的差距到底是什么？AI写专利与人的差别在哪里？未来代理人该何去何从？1、撰写质量高低的评判标准2、非正常专利申请的特征3、Chatgpt写作样式4、新时代专利代理师职业发展路径直播时间：3月14日（明晚）20:00-21:00主讲：韩龙报名占座： ,专利代理人考试超话,,,https://wx1.sinaimg.cn/orj360/698b2a43ly1hby1j1pji0j20u01hcqaq.jpg,https://weibo.com/1770728003/Mx3umcAXP,0,0,2,蓝V认证,neutral,0.27372029423713684,0.5898568034172058,0.13642293214797974
4878589515795645,2023-03-12 22:04:30,夏日之阳新闻传播考研,https://weibo.com/3321496530?refer_flag=1001030103_,论文带读 | 爆火的ChatGPT，今年怎么考？“论文带读”系列持续关注学术前沿，通过超硬核的逻辑框架梳理与精选节点来帮助大家更好地理解相关知识要点、把握考试重点，用最短的时间、最简洁的方式让你收获最硬核的知识。想要在考试中答出更加满意的试卷、想要在考试中表达自己更独特得道的想法，那就要持续关注我们的“论文带读”系列哦，成功上岸不再是梦！今天是大热点ChatGPT的最新论文，喻国明教授的《ChatGPT引发传播革命与媒介生态的构建》，一起学习下新鲜出炉的知识点和结构吧！01论文带读喻国明：《ChatGPT引发传播革命与媒介生态的构建》02半夏の分析一、ChatGPT是什么？· ChatGPT——“生成型预训练聊天机器人”ChatGPT是一款人工智能技术驱动的自然语言处理工具，可用于问答、文本摘要生成、机器翻译、代码生成、对话AI。ChatGPT的四大应用主线分别是：独立型应用，实现特定功能。将生成内容功能和Office、Adobe等软件结合。与服务型应用结合，发挥场景优势。结合垂直领域know-how，实现垂直领域赋能。独立型应用，实现特定功能。实现生成文本、对话、代码等功能；深度嵌入生产力工具，实现生产效率进一步提升。将生成内容功能和Office、Adobe等软件结合。实现Word、PowerPoint等Office功能自动完成。例如制作一份汇报PPT，只需要输入大致的汇报框架，就可以一键制成完整的PPT；与服务型应用结合，发挥场景优势。金融、零售等行业服务结合，通过真实的场景运用ChatGPT；结合垂直领域know-how，实现垂直领域赋能。深耕ChatGPT所处的人工智能行业的底层基础/技术，加强算力、算法、数据、训练模型的训练赋能。· 特点1、生成型：①生成结果；②按照资料内在关系；③结构性整合；④契合与人的关系及场景需求。2、 预训练：①深度学习；②自主学习；③匹配与协同。3、聊天型机器人：①RLHF基于人类反馈的强化学习；②与人意识相匹配的人工智能模型。ChatGPT作为一项划时代的智能互联技术其突破点在于：它以无界的方式全面融入人类实践领域，实现了开放性，成为通用智能。其次，它以深度学习的方式不断为文本的生成注入“以人为本”的关系要素，进而提升了的文本表达的结构价值。从根本上来说，ChatGPT的本质是实现人的世界全要素的价值重构。它的第一步是实现人的语义世界的价值重构，接下来更为关键的突破，应该是指向语义以外世界的人类实践领域的全要素的价值重构——这恰恰应和了元宇宙对于数字文明时代社会要素重构、关系规则重构、现实场景重构的要求。· 直接影响①以无界的方式融入人类实践领域，实现了开放性，重塑“人-货-场”关系；②以人为本，提升文本表达的结构价值；③重构数字文明时代社会要素、关系规则、现实场景。二、ChatGPT的影响· 对人赋能赋权1、优势：填平信息沟，实现信息与知识可供性1）打破经营对于内容的垄断性霸权：更多精英可以自主完成信息采集、加工、把关、传播第一阶段，人们（主要是指技术精英）基于浏览器的网站技术突破了大众传播时代传播局限于某一个专业范畴的垄断性霸权，令更多的社会精英可以借由网站而不经传统媒介的采集、加工制作、把关和传播分享其社会传播的权利。2）泛众传播：突破话语表达的精英霸权第二阶段，基于社交平台和短视频技术的普及突破了话语表达的精英霸权，极大降低了内容生产和社会表达的“门槛”，使“人人皆可成为传播者”的泛众化传播时代落地而成为现实。3）打破资源整合和使用的能力差异和局限：实现理论上的社会平均第三阶段，ChatGPT则突破了资源使用与整合上的能力局限与差异，使每个人至少在理论上可以以一种社会平均线之上的语义表达及资源动员能力进行社会性的内容生产和传播对话。2、劣势：能力沟客观存在，只能相对缩小ChatGPT，能够帮助普通人成功地突破专业能力方面的局限（比如专业的知识与运用、不同语言间的翻译、程序代码的编制等），能够使大量专业的门外汉在一系列专业、专门问题上的资源使用、操作能力和文本表达可以达到社会平均线之上，它令普罗大众能够跨越“能力沟”的障碍，有效地按照自己的意愿、想法来激活和调动海量的外部资源，形成强大、丰富的社会表达和价值创造能力——这是又一次社会在数字化、智能化加持下的重大启蒙，这种赋能于更为广泛的社会成员参与社会决策与专业运作的全新局面，无疑是一次巨大的社会活力的重启。· 对传播生态和主流媒体角色1、在分布式社会中，社会成员在传播领域权利进一步“下沉”2、传播核心逻辑算法化：平等性、广泛性以及实时性、参与的直接性算法（表现为区块链）规则中的平等性、广泛性以及实时性、参与的直接性等等，这实际上是一种更高维度上一种社会重构的价值基础。而这样一种算法信任与规则在未来的进一步发展中，可以透过社会的深度媒介化，进而演进成为构造未来数字文明时代整个社会的“操作系统”。 3、传媒业发展为技术密集型和资本密集型产业：新的寡头依靠智能化技术释放巨大传播生产力4、主流媒介将主要发挥再组织能力，激发和形成传播领域的“涌现”现象，并转向ToB角色：为传播提供价值逻辑和专业规则、平衡话语场主流媒介是“四两拨千斤”式的价值引领者，它并不是以一己之力完成对整个社会的价值传播，更大程度上它应该成为整个社会的生产侧的那些生产者的指挥。它是交响乐团的指挥，尤其是在未来的发展中传播领域的主力生产大军是UGC、OGC、PGC以及正在迅速崛起的AIGC，未来的主流媒介的角色扮演和功能担当又该如何实现是一个值得思考的重要问题。未来的“分布式社会”本质上是一个自组织社会，主流媒介应转型为未来舆论场中具有再组织能力的“四两拨千斤”式的基膜，去激发和形成传播领域的“涌现”现象，要充分利用耗散结构下的协同学、突变论、混沌理论、超循环理论、分型理论等原理进行新的社会传播的“再组织”。怎么样，你学会了吗？我们下期见！傂麓考研#23考研复试##2023考研国家线公布# ,微博网页版,,,https://wx2.sinaimg.cn/orj360/c5fa03d2ly1hbxfdmhqcmj20m80hhwfq.jpg,https://weibo.com/3321496530/MwYthojI9,18,2,29,红V认证,neutral,0.19253699481487274,0.5584810972213745,0.24898198246955872
4878588153169176,2023-03-12 21:58:30,为儿女子孙行善积德,https://weibo.com/1720625495?refer_flag=1001030103_,关于英语的未来命运，中国何去何从？其实懂得教育的初心、根本目的和宗旨就懂该怎么做了。学英语给普通家庭孩子提供一个去国外卷的工作机会。对于看国外学术文献也是很有帮助的，另外你用英语和汉语问chatgpt和bing，得到的答案都是不同的。当然，绝大多数人毕业后都不会与以英语专业为生。学习和考试是为了踏入社会、工作和生活中运用到，而不是为了考试和筛选而不得不牺牲一些学生。所以建议从三年级开始学习英语，和语文数学一样的考试和分数，一直到中考。高中英语成为选修课，和物理化学一样的分数。大学里开设的英语等外语专业面向所有高中学子开放报考，大学里开设的英语等外语课程面向所有专业的大学生随时开放，但不必强制所有学生学习。#英语#傆⒂#委员建议取消英语中小学主科地位# ,vivo 全新水滴屏手机,,,,https://weibo.com/1720625495/MwYr5dirK,0,0,1,没有认证,neutral,0.3193769156932831,0.472966730594635,0.20765641331672668
4878558092857859,2023-03-12 19:59:30,YSAINTE,https://weibo.com/6288057912?refer_flag=1001030103_,我算是看明白了 在哪里上学都是要自学的?只不过在sh是为了考试而自学?在这里是为了交论文而自学?如果ChatGPT能帮我收集数据就好了?闯死期中周?唯一一门有期中考试的?居然还要再交论文?闯死你～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～?我就是洗衣房里的颓废大白鹅 ,魔女?的iPhone 11 Pro,,,https://wx1.sinaimg.cn/orj360/006Ry36Ugy1hbxbqe7hadj30u0140qc2.jpg,https://weibo.com/6288057912/MwXEBbZsv,0,10,5,没有认证,negative,0.6116841435432434,0.2629278004169464,0.1253879815340042
4878553297981969,2023-03-12 19:40:30,叫我饭桶好了,https://weibo.com/3304533305?refer_flag=1001030103_,chatgpt能不能帮我考试 ?,荣耀V20 4800万3D相机,,,,https://weibo.com/3304533305/MwXwRxutr,0,0,0,没有认证,neutral,0.22558264434337616,0.5959737300872803,0.17844361066818237
4878541516179758,2023-03-12 18:53:30,bamboo_life,https://weibo.com/1741817620?refer_flag=1001030103_,"挺好～1，chatGPT 作为一种基于人工智能的用自然语言实现人机对话的工具，可以帮助你：?一本正经的写诗，小说，剧本；帮助学生做作业，写论文；写出一份看上去还不错的商业计划书；写各种捣浆糊的软文;根据自然语言指示，直接生产高质量的代码, 用户界面设计 ;通过了医生和律师资格考试 ；翻译上万字的英文书籍到其它文字，据说翻译质量有些地方已经超过人工。2，当下的营收数据没有那么重要，只要能够显示出强劲的市场需求和增长，只要有投行愿意画大饼，勾勒出营收突破五十亿美元的路线图， 那么大概率有足够多热钱愿意为之买单，支持二十倍营收，也就是至少一千亿美元的市值。3，OpenAI 成功上市后会促进大笔热钱涌入，短期内制造更多 AI 领域的需求，部分公司营收增速极快，推高估值，对整个行业造成一波又一波的水涨船高的效应，在某个时间段内会产生“所有人都在发财，再不加入我就晚了”的错觉。 ??『王川：关于 chatGPT 的随想 （一）』O王川：关于 chatGPT 的随想 （一） ",nova 10 主角影像,,,,https://weibo.com/1741817620/MwXdRpVDw,0,0,0,没有认证,neutral,0.2365657389163971,0.53903728723526,0.2243969440460205
4878515260359768,2023-03-12 17:08:30,卡哥价投人生,https://weibo.com/7519636919?refer_flag=1001030103_,"过去三个多月，大部分人都已经听到各种关于 chatGPT 的铺天盖地的消息了。如果你还不清楚，chatGPT 作为一种基于人工智能的用自然语言实现人机对话的工具，可以帮助你： 一本正经的写诗，小说，剧本；帮助学生做作业，写论文；写出一份看上去还不错的商业计划书；写各种捣浆糊的软文;根据自然语言指示，直接生产高质量的代码, 用户界面设计 ;通过了医生和律师资格考试 ； 翻译上万字的英文书籍到其它文字，据说翻译质量有些地方已经超过人工。衍生的应用包括上传 pdf 文档后，自动读取信息，帮你提供总结，迅速回答关于此文的各种问题。等等。 ",,,,,https://weibo.com/7519636919/MwWxw1vAI,2,0,3,没有认证,neutral,0.3031129539012909,0.47902628779411316,0.21786077320575714
4878488894968199,2023-03-12 15:24:30,万能的小月,https://weibo.com/3608845275?refer_flag=1001030103_,除了ChatGPT还有哪些人工智能帮助你躺大家好呀！今天我来给大家推荐一些机器人辅助，让你们的生活更加便利和高效！看到大家对于ChatGPT比较感兴趣，那么顺便也可以了解下其他的机器人辅助。加我v有完整版地址 ibib331、解決任何问题：Chatgpt2、生成真人演讲：Murf3、时间管理大师：Timelt4、解決法律问题：Do Not Pay5、创作生术作品：Dall-E -26、自动发布社交媒体：Repurpose 107、聊天机器人：Chatbot Live8、专为写文家而生： Jasper Al9、生成真人视频：Synthesia10、帮你写论文的：Jenni Al11、写故事：Tome12、会议记录：FireFlies#人工智能聊天机器人chatgpt能通过sat考试##chatgpt# ,vivo Z5x性能实力派,,,https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3swb80dj20p00xc43y.jpg https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3swn4wvj20p00xctdz.jpg https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3swyhfvj20p00xcaeh.jpg https://wx3.sinaimg.cn/orj360/d71a9bdbly1hbx3sxk67uj20p00xcte8.jpg https://wx3.sinaimg.cn/orj360/d71a9bdbly1hbx3sy2pwej20p00xctdw.jpg https://wx3.sinaimg.cn/orj360/d71a9bdbly1hbx3syco5ej20p00xcjvq.jpg https://wx2.sinaimg.cn/orj360/d71a9bdbly1hbx3syo4b9j20p00xctdi.jpg https://wx2.sinaimg.cn/orj360/d71a9bdbly1hbx3syz7goj20p00xcwk1.jpg https://wx1.sinaimg.cn/orj360/d71a9bdbly1hbx3szvulcj20p00xcwlb.jpg,https://weibo.com/3608845275/MwVQZkQsf,0,0,0,没有认证,neutral,0.10575640946626663,0.5815174579620361,0.3127261698246002
4878398801316170,2023-03-12 09:26:30,超级爱吃草莓的我,https://weibo.com/3308515550?refer_flag=1001030103_,在考试前看电视剧不要慌，靠伟大的#chatgpt#金银淑写台词的功力还是这么强#黑暗荣耀2##黑暗荣耀2最后一句台词是我爱你# ?,iPhone客户端,,,,https://weibo.com/3308515550/MwTvG5woy,0,0,0,没有认证,positive,0.2585175335407257,0.30520644783973694,0.43627601861953735
4878398055254318,2023-03-12 09:23:30,探索时分,https://weibo.com/1738753940?refer_flag=1001030103_,100题只对54题ChatGPT挑战印度最难考试不及格ChatGPT挑战印度最难考试失败，可能是因其数据库资料只更新到2021年。聊天机器人ChatGPT去年11月面世后在美国各考场过关斩将，但在印度踢到铁板，挑战号称「印度最难考试」的公务员资格考不及格。印度杂志分析，数据库未充分更新，是导致ChatGPT考试失利的主因。中央社报导，ChatGPT以惊人的「智力」及大数据运用能力暴红，近来不但通过美国明尼苏达大学法学院以及宾州大学华顿商学院的考试、取得Google三级编码工程师资格，甚至还通过了美国执业医师资格考试。然而，印度科技趋势分析杂志Analytics India Magazine（AIM）以印度公务员考试（Indian Civil Services Examination）2022年初阶试题来考验ChatGPT，结果ChatGPT在100题当中只答对54题，有些题目还因答错而被倒扣分数，最终未能达到及格标准。据报导，考题涵盖印度地理、经济、历史、生态、综合科学及时事，而ChatGPT考不及格的原因，有可能是因为它的数据库资料只更新到2021年。印度公务员考试是由联邦公务员委员会（UPSC）办理，去年有115万人报考，但录取率只有5%。即使如此，因印度公务员享有很高的社会地位，外加就业、居住及医疗等保障，每年仍吸引数以百万计印度人报考。另一方面，印度软体外包服务巨擘印福思科技公司（Infosys）创办人纳拉雅纳．莫西（NR Narayana Murthy）2日在一场科技论坛上说，ChatGPT不至于抢走人类的饭碗。莫西说，1970年代后期程式码生成器横空出世，当时许多程式设计员担心失业，结果这并未发生，「人类的大脑是最具弹性的工具，人类的创意搭配了科技，能解决更多的大问题。」 ,OnePlus 8 Pro,,,https://wx2.sinaimg.cn/orj360/67a34794gy1hbwte1ghk1j21400qz7bv.jpg,https://weibo.com/1738753940/MwTutm2T4,0,0,0,没有认证,neutral,0.24720565974712372,0.5387799143791199,0.21401451528072357
